Player,Picture,Squad,Squad_picture,Pos,DPos,contribution,Annual Wages,Squad Annual Wages,Con_color,Con_longitude,Pos_Order,DPos_Order,90s,Aerials Won %,Blocks Contribution,Clearance Contribution,Interception Contribution,Pass Completion %,Crosses Completed,Progressive Carries,Tackles Contribution,Touches in Attacking Third,Carries into Final Third,Ball Recoveries,Progressive Passes,Key Passes,Tackles Won,Shot-Creating Actions,xA,Assists,Goals,Progressive Passes Received,xG,xG-G,all_con%,all_latitude,all_longitude,Clean Sheets Contribution,Launch %,PSxG-GA,Pass Completion Contribution,Save%,posrank,dposrank,allposrank,alldposrank
Gabriel Jesus,https://fbref.com/req/202302030/images/headshots/b66315ae_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c10.png,FW,ST,0.466,16828855,223846398,9.675322421,40.15637217,1,1,6.8,,,,,,,,,,6,,,,,,,0,3,57,3,0,,,,,,,,,7,2,110,42
Kai Havertz,https://fbref.com/req/202302030/images/headshots/fed7cb61_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c11.png,FW,ST,0.889,17781432,223846398,19.23761537,79.84362783,1,1,20.4,,,,,,,,,,23,,,,,,,3,9,110,9.4,-0.4,,,,,,,,,3,1,56,19
Gabriel Martinelli,https://fbref.com/req/202302030/images/headshots/48a5a5d6_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c12.png,FW,LW,0.856,11430921,223846398,18.49162089,57.00348432,1,2,19.9,,,,,,,,,,27,,,,,,,4,6,235,5.1,0.9,,,,,,,,,4,2,61,20
Leandro Trossard,https://fbref.com/req/202302030/images/headshots/38ceb24a_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c13.png,FW,LW,0.942,5715460,223846398,20.43572773,62.99651568,1,2,23.2,,,,,,,,,,46,,,,,,,5,5,185,5.6,-0.6,,,,,,,,,2,1,49,18
Bukayo Saka,https://fbref.com/req/202302030/images/headshots/bc7dc64d_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c14.png,FW,RW,1.076,12383497,223846398,23.46491746,57.05909299,1,3,15.2,,,,,,,,,,22,,,,,,,10,6,208,5.2,0.8,,,,,,,,,1,1,40,10
Ethan Nwaneri,https://fbref.com/req/202302030/images/headshots/7f94982c_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c15.png,FW,RW,0.583,412240,223846398,12.32021196,29.95877233,1,3,8.6,,,,,,,,,,21,,,,,,,2,3,93,1,2,,,,,,,,,6,3,100,25
Raheem Sterling,https://fbref.com/req/202302030/images/headshots/b400bde0_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c16.png,FW,RW,0.638,7557736,223846398,13.5635361,32.98213468,1,3,3.9,,,,,,,,,,9,,,,,,,2,0,63,1.3,-1.3,,,,,,,,,5,2,88,19
Declan Rice,https://fbref.com/req/202302030/images/headshots/1c7012b8_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c17.png,MF,CM,1.841,15241227,223846398,25.49927575,67.37360892,2,1,26.8,,,,,,,,,,53,,162,51,,95,5.2,,,,,,,,,,,,,,2,1,26,9
Mikel Merino,https://fbref.com/req/202302030/images/headshots/d080ed5e_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c18.png,MF,CM,0.564,8255665,223846398,10.69505916,28.2582431,2,1,14.9,,,,,,,,,,12,,60,14,,38,1.1,,,,,,,,,,,,,,4,2,102,53
Myles Lewis-Skelly,https://fbref.com/req/202302030/images/headshots/5dff6c28_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c19.png,MF,CM,0.437,274827,223846398,9.222752573,24.36814798,2,1,10.7,,,,,,,,,,18,,52,5,,18,0.3,,,,,,,,,,,,,,5,3,113,59
Martin Ødegaard,https://fbref.com/req/202302030/images/headshots/79300479_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c20.png,MF,CAM,1.911,15241227,223846398,26.31078332,120,2,2,20.7,,,,,,,,,,57,,198,49,,95,5.6,,,,,,,,,,,,,,1,1,23,9
