date,population
2013/1/14,56666
2013/1/15,57250
2013/1/16,58576
2013/1/17,60004
2013/1/18,61186
2013/1/20,65307
2013/1/21,68145
2013/1/22,70517
2013/1/23,73002
2013/1/24,73002
2013/1/27,83988
2013/1/28,86110
2013/1/29,88632
2013/1/30,91197
2013/1/31,93417
2013/2/3,95703
2013/2/4,96706
2013/2/5,97935
2013/2/6,99667
2013/2/7,101552
2013/2/10,105113
2013/2/11,106463
2013/2/12,108026
2013/2/17,116983
2013/2/18,118424
2013/2/19,120428
2013/2/20,122603
2013/2/21,124338
2013/3/11,156557
2013/3/13,158766
2013/3/17,164365
2013/3/25,171515
2013/3/26,172316
2013/3/27,173274
2013/3/28,174307
2013/4/1,179101
2013/4/2,180455
2013/4/3,181196
2013/4/5,182302
2013/4/7,185461
2013/4/8,186050
2013/4/9,186765
2013/4/10,187587
2013/4/11,188653
2013/4/14,192193
2013/4/15,193462
2013/4/16,194368
2013/4/17,195839
2013/4/18,197042
2013/4/21,202855
2013/4/22,202689
2013/4/23,202993
2013/4/24,202993
2013/4/25,202993
2013/5/9,152422
2013/5/13,168911
2013/5/14,169252
2013/5/15,170103
2013/5/16,170103
2013/5/19,173107
2013/5/21,172162
2013/5/23,171562
2013/5/27,170236
2013/5/28,169948
2013/5/29,170317
2013/5/30,170189
2013/6/3,147287
2013/6/4,147601
2013/6/5,147637
2013/6/10,147902
2013/6/11,142525
2013/6/12,142759
2013/6/13,142743
2013/6/16,143267
2013/6/17,142707
2013/6/18,142489
2013/6/19,142592
2013/6/20,142875
2013/6/23,143682
2013/6/24,143384
2013/6/25,143533
2013/6/26,143730
2013/6/27,143949
2013/6/30,144430
2013/7/1,144570
2013/7/2,144476
2013/7/3,144279
2013/7/4,144428
2013/7/7,145049
2013/7/8,144778
2013/7/9,144854
2013/7/10,144622
2013/7/11,133759
2013/7/14,133405
2013/7/15,132927
2013/7/17,132705
2013/7/18,132658
2013/7/22,132176
2013/7/24,131992
2013/7/25,131701
2013/7/30,131637
2013/7/31,131504
2013/8/1,131389
2013/8/5,130724
2013/8/6,130180
2013/8/7,130016
2013/8/12,129659
2013/8/13,129522
2013/8/14,129314
2013/8/18,124051
2013/8/20,123301
2013/8/21,123286
2013/8/22,123093
2013/8/26,123051
2013/8/27,122817
2013/8/28,122723
2013/8/29,122496
2013/9/1,122614
2013/9/2,122017
2013/9/18,120739
2013/9/19,120602
2013/9/22,121130
2013/9/23,120783
2013/9/24,120546
2013/10/3,119975
2013/10/6,120695
2013/10/7,120695
2013/10/8,120785
2013/10/14,121040
2013/10/17,121776
2013/10/22,122191
2013/10/23,122634
2013/10/24,122537
2013/10/28,122673
2013/10/29,122673
2013/10/30,109998
2013/11/3,110439
2013/11/5,110453
2013/11/11,112229
2013/11/12,112394
2013/11/14,112116
2013/11/17,112874
2013/11/18,112813
2013/11/19,113131
2013/11/21,113131
2013/11/26,113607
2013/11/27,113721
2013/11/28,113893
2013/12/3,114813
2013/12/4,114862
2013/12/5,114865
2013/12/9,116785
2013/12/10,117334
2013/12/18,118150
2013/12/19,118231
2013/12/31,124105
2014/1/15,124105
2014/1/20,127574
2014/1/23,127712
2014/1/26,128567
